activity_id,week,location_id,co_share_group
A001,21,PLAT:BET:S15:EB,n1
A001,21,PLAT:BET:S16:EB,n1
A001,21,PLAT:BET:S17:EB,n1
A001,21,SEC:BET:S15_S16:EB,n1
A001,21,SEC:BET:S16_S17:EB,n1
A001,22,PLAT:BET:S15:EB,n4
A001,22,PLAT:BET:S16:EB,n4
A001,22,PLAT:BET:S17:EB,n4
A001,22,SEC:BET:S15_S16:EB,n4
A001,22,SEC:BET:S16_S17:EB,n4
A002,1,PLAT:BET:S11:WB,n5
A002,1,PLAT:BET:S12:WB,n5
A002,1,PLAT:BET:S13:WB,n5
A002,1,SEC:BET:S11_S12:WB,n5
A002,1,SEC:BET:S12_S13:WB,n5
A003,11,PLAT:BET:H01:EB,n1
A003,11,PLAT:BET:H02:EB,n1
A003,11,PLAT:BET:S15:EB,n1
A003,11,PLAT:BET:S16:EB,n1
A003,11,SEC:BET:H01_H02:EB,n1
A003,11,SEC:BET:H02_S15:EB,n1
A003,11,SEC:BET:S15_S16:EB,n1
A003,12,PLAT:BET:H01:EB,n1
A003,12,PLAT:BET:H02:EB,n1
A003,12,PLAT:BET:S15:EB,n1
A003,12,PLAT:BET:S16:EB,n1
A003,12,SEC:BET:H01_H02:EB,n1
A003,12,SEC:BET:H02_S15:EB,n1
A003,12,SEC:BET:S15_S16:EB,n1
A003,13,PLAT:BET:H01:EB,n5
A003,13,PLAT:BET:H02:EB,n5
A003,13,PLAT:BET:S15:EB,n5
A003,13,PLAT:BET:S16:EB,n5
A003,13,SEC:BET:H01_H02:EB,n5
A003,13,SEC:BET:H02_S15:EB,n5
A003,13,SEC:BET:S15_S16:EB,n5
A003,14,PLAT:BET:H01:EB,n1
A003,14,PLAT:BET:H02:EB,n1
A003,14,PLAT:BET:S15:EB,n1
A003,14,PLAT:BET:S16:EB,n1
A003,14,SEC:BET:H01_H02:EB,n1
A003,14,SEC:BET:H02_S15:EB,n1
A003,14,SEC:BET:S15_S16:EB,n1
A003,15,PLAT:BET:H01:EB,n1
A003,15,PLAT:BET:H02:EB,n1
A003,15,PLAT:BET:S15:EB,n1
A003,15,PLAT:BET:S16:EB,n1
A003,15,SEC:BET:H01_H02:EB,n1
A003,15,SEC:BET:H02_S15:EB,n1
A003,15,SEC:BET:S15_S16:EB,n1
A004,16,PLAT:ALP:H01:EB,n5
A004,16,PLAT:ALP:S03:EB,n5
A004,16,PLAT:ALP:S04:EB,n5
A004,16,SEC:ALP:S03_S04:EB,n5
A004,16,SEC:ALP:S04_H01:EB,n5
A004,17,PLAT:ALP:H01:EB,n1
A004,17,PLAT:ALP:S03:EB,n1
A004,17,PLAT:ALP:S04:EB,n1
A004,17,SEC:ALP:S03_S04:EB,n1
A004,17,SEC:ALP:S04_H01:EB,n1
A004,18,PLAT:ALP:H01:EB,n5
A004,18,PLAT:ALP:S03:EB,n5
A004,18,PLAT:ALP:S04:EB,n5
A004,18,SEC:ALP:S03_S04:EB,n5
A004,18,SEC:ALP:S04_H01:EB,n5
A006,2,PLAT:ALP:H01:WB,n2
A006,2,PLAT:ALP:H02:WB,n2
A006,2,PLAT:ALP:S03:WB,n2
A006,2,PLAT:ALP:S04:WB,n2
A006,2,SEC:ALP:H01_H02:WB,n2
A006,2,SEC:ALP:S03_S04:WB,n2
A006,2,SEC:ALP:S04_H01:WB,n2
A006,3,PLAT:ALP:H01:WB,n1
A006,3,PLAT:ALP:H02:WB,n1
A006,3,PLAT:ALP:S03:WB,n1
A006,3,PLAT:ALP:S04:WB,n1
A006,3,SEC:ALP:H01_H02:WB,n1
A006,3,SEC:ALP:S03_S04:WB,n1
A006,3,SEC:ALP:S04_H01:WB,n1
A007,15,PLAT:BET:H01:EB,n1
A007,15,PLAT:BET:H02:EB,n1
A007,15,SEC:BET:H01_H02:EB,n1
A007,16,PLAT:BET:H01:EB,n4
A007,16,PLAT:BET:H02:EB,n4
A007,16,SEC:BET:H01_H02:EB,n4
A007,17,PLAT:BET:H01:EB,n2
A007,17,PLAT:BET:H02:EB,n2
A007,17,SEC:BET:H01_H02:EB,n2
A007,18,PLAT:BET:H01:EB,n1
A007,18,PLAT:BET:H02:EB,n1
A007,18,SEC:BET:H01_H02:EB,n1
A007,20,PLAT:BET:H01:EB,n2
A007,20,PLAT:BET:H02:EB,n2
A007,20,SEC:BET:H01_H02:EB,n2
A007,21,PLAT:BET:H01:EB,n3
A007,21,PLAT:BET:H02:EB,n3
A007,21,SEC:BET:H01_H02:EB,n3
A007,23,PLAT:BET:H01:EB,n2
A007,23,PLAT:BET:H02:EB,n2
A007,23,SEC:BET:H01_H02:EB,n2
A008,16,PLAT:BET:S17:EB,n2
A008,16,PLAT:BET:S18:EB,n2
A008,16,SEC:BET:S17_S18:EB,n2
A008,17,PLAT:BET:S17:EB,n1
A008,17,PLAT:BET:S18:EB,n1
A008,17,SEC:BET:S17_S18:EB,n1
A008,18,PLAT:BET:S17:EB,n2
A008,18,PLAT:BET:S18:EB,n2
A008,18,SEC:BET:S17_S18:EB,n2
A008,19,PLAT:BET:S17:EB,n1
A008,19,PLAT:BET:S18:EB,n1
A008,19,SEC:BET:S17_S18:EB,n1
A008,20,PLAT:BET:S17:EB,n5
A008,20,PLAT:BET:S18:EB,n5
A008,20,SEC:BET:S17_S18:EB,n5
A009,2,PLAT:ALP:S05:EB,n1
A009,2,PLAT:ALP:S06:EB,n1
A009,2,SEC:ALP:S05_S06:EB,n1
A009,3,PLAT:ALP:S05:EB,n4
A009,3,PLAT:ALP:S06:EB,n4
A009,3,SEC:ALP:S05_S06:EB,n4
A009,4,PLAT:ALP:S05:EB,n1
